id,char,level,element,readings_on,readings_kun,meanings,strokes,tags,world,order,example_sentence,example_reading
n5_one_hitotsu,一,N5,MAGIC,イチ|イツ,ひと(つ),one,1,basic,1,1,__（いち）月一日,いち
n5_two_futatsu,二,N5,MAGIC,ニ,ふた(つ),two,2,basic,1,1,__（に）月,に
n5_seven_nanatsu,七,N5,MAGIC,シチ,なな(つ),seven,2,basic,1,1,__（しち）月,しち
n5_eight_yatsu,八,N5,MAGIC,ハチ,や(つ),eight,2,basic,1,1,__（はち）月,はち
n5_nine_kokonotsu,九,N5,MAGIC,キュウ|ク,ここの(つ),nine,2,basic,1,1,__（く）月,く
n5_ten_tou,十,N5,MAGIC,ジュウ,とお,ten,2,basic,1,2,__（じゅう）月,じゅう
n5_person_hito,人,N5,LIFE,ジン|ニン,ひと,person,2,basic,1,2,日本__（じん）,じん
n5_enter_hairu,入,N5,MAGIC,ニュウ,はい(る),enter,2,basic,1,2,__（い）り口,い
n5_three_mitsu,三,N5,MAGIC,サン,み(つ),three,3,basic,1,2,__（さん）月,さん
n5_river_kawa,川,N5,AQUA,セン,かわ,river,3,basic|nature,1,2,__（かわ）,かわ
n5_mountain_yama,山,N5,METAL,サン,やま,mountain,3,basic|nature,1,3,富__（さん）,さん
n5_mouth_kuchi,口,N5,LIFE,コウ|ク,くち,mouth,3,basic,1,3,__（くち）,くち
n5_earth_tsuchi,土,N5,METAL,ド|ト,つち,earth|soil,3,basic|nature,1,3,__（ど）曜日,ど
n5_woman_onna,女,N5,LIFE,ジョ|ニョ,おんな,woman,3,basic,1,3,__（おんな）の子,おんな
n5_child_ko,子,N5,LIFE,シ|ス,こ,child,3,basic,1,3,__（こ）ども,こ
n5_thousand_chi,千,N5,MAGIC,セン,ち,thousand,3,basic,2,1,__（せん）円,せん
n5_ten_thousand_yorozu,万,N5,MAGIC,マン,よろず,ten thousand,3,basic,2,1,一__（まん）円,まん
